id,movie_id,actor_id,created_at
429,117,33,2023-02-06 07:21:44.470245+00
430,117,114,2023-02-06 07:21:44.470245+00
431,118,50,2023-02-06 07:26:02.189365+00
432,118,51,2023-02-06 07:26:02.189365+00
433,119,39,2023-02-06 07:27:16.038044+00
434,119,51,2023-02-06 07:27:16.038044+00
435,119,48,2023-02-06 07:27:16.038044+00
436,120,19,2023-02-06 07:30:01.714542+00
437,121,19,2023-02-06 07:31:00.898981+00
438,122,19,2023-02-06 07:32:19.945403+00
439,122,117,2023-02-06 07:32:19.945403+00
440,122,95,2023-02-06 07:32:19.945403+00
441,123,19,2023-02-06 07:33:39.508583+00
442,124,19,2023-02-06 07:35:12.629428+00
443,124,47,2023-02-06 07:35:12.629428+00
444,125,32,2023-02-06 07:36:49.991993+00
445,125,25,2023-02-06 07:36:49.991993+00
446,126,32,2023-02-06 07:38:11.086093+00
447,126,25,2023-02-06 07:38:11.086093+00
448,127,25,2023-02-06 07:40:55.965855+00
449,127,148,2023-02-06 07:40:55.965855+00
450,128,22,2023-02-06 07:44:30.794696+00
451,128,148,2023-02-06 07:44:30.794696+00
452,129,37,2023-02-06 07:48:08.730219+00
453,129,149,2023-02-06 07:48:08.730219+00
454,6,1,2023-02-06 07:48:38.41174+00
455,6,27,2023-02-06 07:48:38.41174+00
456,6,149,2023-02-06 07:48:38.41174+00
466,133,20,2023-02-06 07:58:29.661078+00
467,133,81,2023-02-06 07:58:29.661078+00
475,131,20,2023-02-06 07:59:01.368178+00
476,131,81,2023-02-06 07:59:01.368178+00
477,131,43,2023-02-06 07:59:01.368178+00
479,130,20,2023-02-06 07:59:10.049473+00
480,130,81,2023-02-06 07:59:10.049473+00
481,130,56,2023-02-06 07:59:10.049473+00
468,133,43,2023-02-06 07:58:29.661078+00
469,133,113,2023-02-06 07:58:29.661078+00
470,133,151,2023-02-06 07:58:29.661078+00
471,132,20,2023-02-06 07:58:51.824933+00
472,132,81,2023-02-06 07:58:51.824933+00
473,132,150,2023-02-06 07:58:51.824933+00
474,132,151,2023-02-06 07:58:51.824933+00
483,134,77,2023-02-06 08:05:23.128295+00
484,134,143,2023-02-06 08:05:23.128295+00
485,134,150,2023-02-06 08:05:23.128295+00
497,138,156,2023-02-06 08:21:41.213604+00
498,138,157,2023-02-06 08:21:41.213604+00
499,138,161,2023-02-06 08:21:41.213604+00
500,138,162,2023-02-06 08:21:41.213604+00
478,131,151,2023-02-06 07:59:01.368178+00
486,135,77,2023-02-06 08:06:55.700595+00
487,135,152,2023-02-06 08:06:55.700595+00
488,135,153,2023-02-06 08:06:55.700595+00
489,135,154,2023-02-06 08:06:55.700595+00
490,135,155,2023-02-06 08:06:55.700595+00
491,136,154,2023-02-06 08:15:38.326472+00
492,136,152,2023-02-06 08:15:38.326472+00
493,136,155,2023-02-06 08:15:38.326472+00
494,137,157,2023-02-06 08:18:30.349486+00
495,137,156,2023-02-06 08:18:30.349486+00
496,137,155,2023-02-06 08:18:30.349486+00
482,130,151,2023-02-06 07:59:10.049473+00
501,139,156,2023-02-06 08:23:06.803681+00
502,139,157,2023-02-06 08:23:06.803681+00
503,139,150,2023-02-06 08:23:06.803681+00
504,140,77,2023-02-06 08:24:17.518198+00
505,140,160,2023-02-06 08:24:17.518198+00
506,141,158,2023-02-06 08:26:34.098073+00
507,141,159,2023-02-06 08:26:34.098073+00
508,141,156,2023-02-06 08:26:34.098073+00
509,142,163,2023-02-06 13:46:48.403748+00
510,142,164,2023-02-06 13:46:48.403748+00
511,142,165,2023-02-06 13:46:48.403748+00
512,142,166,2023-02-06 13:46:48.403748+00
513,143,167,2023-02-06 13:53:22.243398+00
514,143,168,2023-02-06 13:53:22.243398+00
515,144,164,2023-02-06 13:54:59.473973+00
516,144,166,2023-02-06 13:54:59.473973+00
517,144,165,2023-02-06 13:54:59.473973+00
518,144,127,2023-02-06 13:54:59.473973+00
519,145,164,2023-02-06 13:57:00.309341+00
520,145,165,2023-02-06 13:57:00.309341+00
521,145,166,2023-02-06 13:57:00.309341+00
522,145,127,2023-02-06 13:57:00.309341+00
523,146,169,2023-02-06 14:05:21.512572+00
524,146,171,2023-02-06 14:05:21.512572+00
525,147,169,2023-02-06 14:06:35.345056+00
526,147,172,2023-02-06 14:06:35.345056+00
527,147,171,2023-02-06 14:06:35.345056+00
528,148,169,2023-02-06 14:07:42.343615+00
529,148,171,2023-02-06 14:07:42.343615+00
530,149,169,2023-02-06 14:08:48.1391+00
531,149,170,2023-02-06 14:08:48.1391+00
532,150,14,2023-02-07 05:01:10.817591+00
533,150,54,2023-02-07 05:01:10.817591+00
534,150,101,2023-02-07 05:01:10.817591+00
535,151,14,2023-02-07 05:06:18.346035+00
536,151,173,2023-02-07 05:06:18.346035+00
537,152,14,2023-02-07 05:11:36.165161+00
538,152,96,2023-02-07 05:11:36.165161+00
539,152,174,2023-02-07 05:11:36.165161+00
540,153,14,2023-02-07 05:13:06.352193+00
541,153,101,2023-02-07 05:13:06.352193+00
542,153,107,2023-02-07 05:13:06.352193+00
543,153,29,2023-02-07 05:13:06.352193+00
544,154,14,2023-02-07 05:14:39.300314+00
545,155,14,2023-02-07 05:15:49.950169+00
546,155,6,2023-02-07 05:15:49.950169+00
547,155,85,2023-02-07 05:15:49.950169+00
548,156,38,2023-02-07 05:47:45.7389+00
549,156,53,2023-02-07 05:47:45.7389+00
550,157,38,2023-02-07 05:48:59.029929+00
551,157,53,2023-02-07 05:48:59.029929+00
552,158,38,2023-02-07 05:50:00.933593+00
553,158,53,2023-02-07 05:50:00.933593+00
554,159,79,2023-02-07 05:58:12.945233+00
555,159,88,2023-02-07 05:58:12.945233+00
556,159,151,2023-02-07 05:58:12.945233+00
557,160,79,2023-02-07 05:59:29.838318+00
558,160,175,2023-02-07 05:59:29.838318+00
559,160,87,2023-02-07 05:59:29.838318+00
560,160,88,2023-02-07 05:59:29.838318+00
561,161,79,2023-02-07 06:00:47.632376+00
562,161,175,2023-02-07 06:00:47.632376+00
563,161,78,2023-02-07 06:00:47.632376+00
564,161,88,2023-02-07 06:00:47.632376+00
565,161,87,2023-02-07 06:00:47.632376+00
566,162,35,2023-02-07 07:24:15.397103+00
567,163,83,2023-02-07 07:27:46.639557+00
568,164,83,2023-02-07 07:30:52.66979+00
569,164,176,2023-02-07 07:30:52.66979+00
570,165,83,2023-02-07 07:32:09.802522+00
571,166,83,2023-02-07 07:33:25.256932+00
572,167,83,2023-02-07 07:34:35.613001+00
573,167,176,2023-02-07 07:34:35.613001+00
574,168,59,2023-02-07 07:36:56.077491+00
575,59,64,2023-02-08 05:15:01.222947+00
576,59,48,2023-02-08 05:15:01.222947+00
577,59,65,2023-02-08 05:15:01.222947+00
578,58,69,2023-02-08 05:31:59.742883+00
581,170,18,2023-02-14 12:13:04.098473+00
582,170,179,2023-02-14 12:13:04.098473+00
583,171,18,2023-02-14 12:24:18.309485+00
584,171,179,2023-02-14 12:24:18.309485+00
585,172,18,2023-02-14 12:25:17.730551+00
586,172,179,2023-02-14 12:25:17.730551+00
587,172,113,2023-02-14 12:25:17.730551+00
588,173,18,2023-02-14 13:22:26.581798+00
589,173,180,2023-02-14 13:22:26.581798+00
590,174,91,2023-02-14 13:30:40.160235+00
591,174,181,2023-02-14 13:30:40.160235+00
592,174,182,2023-02-14 13:30:40.160235+00
593,175,91,2023-02-14 13:31:47.436755+00
594,175,181,2023-02-14 13:31:47.436755+00
595,175,182,2023-02-14 13:31:47.436755+00
596,176,91,2023-02-14 13:33:21.625639+00
597,176,182,2023-02-14 13:33:21.625639+00
598,176,181,2023-02-14 13:33:21.625639+00
599,177,91,2023-02-14 13:34:55.559307+00
600,177,35,2023-02-14 13:34:55.559307+00
601,178,24,2023-02-14 13:38:10.689946+00
602,179,28,2023-02-14 13:42:07.764888+00
603,179,23,2023-02-14 13:42:07.764888+00
604,180,44,2023-02-14 14:02:02.403461+00
605,180,183,2023-02-14 14:02:02.403461+00
606,181,30,2023-02-14 14:07:27.214343+00
607,182,39,2023-02-14 14:10:28.558565+00
608,183,25,2023-02-14 14:20:23.146487+00
609,183,184,2023-02-14 14:20:23.146487+00
